Date,AAPL,AIZ,ALGN,APP,AWK,BG,BMY,BX,CAG,CHD,CHRW,CME,CNP,CPT,CVX,DD,DOC,DPZ,DVA,ED,EL,FAST,FITB,GEV,GS,HLT,HOLX,HON,IVZ,JBL,K,MA,MMM,MOH,NRG,NUE,NXPI,OTIS,PANW,PLTR,QCOM,RTX,SO,TFC,TRV,URI,WBD,WST,WTW,WY
2021-05-07,127.15825653076172,148.16827392578125,598.3400268554688,57.2599983215332,138.9665069580078,80.30790710449219,53.882938385009766,77.51152801513672,30.760276794433594,82.6497802734375,88.86405944824219,169.36326599121094,21.682340621948242,105.59867095947266,90.21464538574219,31.625720977783203,26.42540168762207,408.645751953125,126.80000305175781,65.99172973632812,282.8526916503906,23.868898391723633,35.740440368652344,,330.6440734863281,121.91152954101562,65.62999725341797,195.59056091308594,23.2020206451416,53.90046691894531,53.53227233886719,365.8158874511719,142.38330078125,267.8399963378906,30.53859519958496,92.14466857910156,182.73440551757812,72.74752807617188,57.05666732788086,19.75,124.36490631103516,76.89067840576172,55.42019271850586,49.11283874511719,146.82073974609375,336.3902587890625,37.560001373291016,329.93994140625,254.32437133789062,32.86549758911133
2021-05-10,123.87700653076172,147.47679138183594,554.5,55.5,142.46705627441406,79.6219711303711,54.100341796875,76.28048706054688,31.003448486328125,84.50261688232422,90.84656524658203,173.64491271972656,21.691192626953125,106.09785461425781,89.84566497802734,31.179100036621094,26.417526245117188,407.3229064941406,127.9800033569336,67.47904205322266,278.22784423828125,24.093021392822266,35.647621154785156,,328.6738586425781,120.07456970214844,65.08999633789062,197.42860412597656,23.21025276184082,52.180137634277344,54.53975296020508,356.9871826171875,145.3701934814453,268.739990234375,31.15359115600586,94.51451873779297,174.5264892578125,72.8033447265625,56.88999938964844,18.469999313354492,116.32653045654297,76.28962707519531,55.462013244628906,48.5704231262207,147.60592651367188,337.17474365234375,37.2599983215332,329.9893798828125,253.20370483398438,33.51458740234375
2021-05-11,122.95901489257812,143.98257446289062,566.260009765625,53.459999084472656,140.3666229248047,79.82421875,53.7324333190918,75.60901641845703,30.760276794433594,83.27369689941406,88.48899841308594,177.01683044433594,21.21310043334961,105.50398254394531,87.4923095703125,31.618083953857422,25.881444931030273,399.07379150390625,124.61000061035156,67.04804992675781,274.8897705078125,23.707529067993164,35.1328125,,320.8644104003906,120.32147979736328,64.47000122070312,195.90687561035156,22.420671463012695,52.65199661254883,53.69219207763672,358.2247619628906,142.83900451660156,263.0299987792969,30.47710418701172,95.14898681640625,177.7672119140625,72.21719360351562,57.23833465576172,20.209999084472656,115.81228637695312,75.65267944335938,55.03544616699219,48.2513542175293,143.0591278076172,329.6107177734375,36.779998779296875,331.462646484375,248.8437042236328,32.569705963134766
2021-05-12,119.89263153076172,144.13009643554688,548.6400146484375,52.25,136.6131134033203,77.70484161376953,53.95820236206055,72.57019805908203,30.39553451538086,82.62139892578125,86.75656127929688,178.66940307617188,20.938644409179688,102.99935150146484,88.04168701171875,30.656143188476562,25.313833236694336,402.0030517578125,122.77999877929688,65.8311538696289,270.4700622558594,23.308595657348633,34.55049514770508,,315.9434509277344,116.82530975341797,62.95000076293945,188.1102752685547,21.68866729736328,50.0370979309082,53.10849380493164,347.51531982421875,139.43844604492188,257.010009765625,29.54583740234375,89.5602035522461,168.7560272216797,70.8309097290039,55.848331451416016,18.889999389648438,112.42913055419922,73.8136215209961,53.83102035522461,47.549400329589844,140.37490844726562,318.9184875488281,35.7599983215332,321.1595153808594,245.95266723632812,30.909992218017578
2021-05-13,122.04105377197266,146.86831665039062,553.6199951171875,49.869998931884766,138.8140411376953,78.54029846191406,54.3846435546875,73.52574920654297,30.906171798706055,84.0368881225586,88.59614562988281,179.66259765625,21.664628982543945,105.0047836303711,87.47589874267578,31.15620231628418,25.676475524902344,399.1304931640625,125.94000244140625,66.99735260009766,271.3558654785156,23.864416122436523,35.428184509277344,,319.87481689453125,118.67214965820312,62.79999923706055,192.03370666503906,22.313749313354492,51.8487434387207,54.123966217041016,350.82855224609375,142.62171936035156,265.0400085449219,29.580978393554688,94.04801177978516,172.1352081298828,71.77992248535156,53.97999954223633,18.3700008392334,114.67554473876953,75.1592788696289,54.976905822753906,48.68267059326172,144.0360565185547,322.5697326660156,35.22999954223633,324.62017822265625,247.79840087890625,31.320810317993164
2021-05-14,124.46293640136719,148.64768981933594,569.0399780273438,57.2599983215332,139.57203674316406,79.70110321044922,54.250850677490234,75.30773162841797,30.44416618347168,83.95154571533203,89.10517120361328,181.1065216064453,22.151575088500977,105.23716735839844,89.76364135742188,31.774600982666016,26.078535079956055,403.7511901855469,125.41000366210938,66.7353744506836,276.44696044921875,24.160255432128906,35.98517990112305,,328.7540588378906,122.07943725585938,63.7400016784668,195.19305419921875,22.996402740478516,53.10902786254883,53.20443344116211,354.6192626953125,143.30186462402344,260.4800109863281,30.160825729370117,95.64347076416016,177.51795959472656,73.38948059082031,56.13666534423828,20.079999923706055,117.41813659667969,77.04320526123047,55.01069259643555,49.54267883300781,146.54684448242188,331.0248107910156,35.650001525878906,329.33673095703125,249.40870666503906,31.4769229888916
2021-05-17,123.31059265136719,149.04408264160156,559.52001953125,62.439998626708984,137.76380920410156,78.7425308227539,54.73583984375,75.56597137451172,30.57386016845703,83.70506286621094,88.43541717529297,180.63914489746094,22.160430908203125,105.95153045654297,90.86243438720703,32.560935974121094,26.267736434936523,409.01422119140625,124.33999633789062,66.53256225585938,276.59613037109375,24.057161331176758,36.20460891723633,,329.1820983886719,120.20297241210938,62.63999938964844,194.42901611328125,22.831911087036133,53.168094635009766,53.028533935546875,354.0248107910156,143.81365966796875,262.04998779296875,30.02024269104004,99.1982650756836,176.5115203857422,73.51042938232422,55.96666717529297,20.459999084472656,117.1023941040039,77.66221618652344,54.44461441040039,49.84809875488281,146.30943298339844,330.2983703613281,33.849998474121094,323.03814697265625,250.49163818359375,31.27972984313965
2021-05-18,121.92388916015625,146.34278869628906,569.5,64.29000091552734,137.98300170898438,77.61943817138672,54.852901458740234,75.83284759521484,30.492795944213867,83.27843475341797,87.06017303466797,178.80288696289062,21.86826515197754,105.46094512939453,88.13164520263672,32.4884147644043,26.33080291748047,409.01422119140625,122.13999938964844,66.34906005859375,276.1858825683594,23.487892150878906,35.45349884033203,,325.0009460449219,119.29434967041016,62.27000045776367,190.8661346435547,22.412443161010742,52.665958404541016,52.804656982421875,353.8008117675781,142.355224609375,261.75,30.072967529296875,96.53917694091797,176.57615661621094,73.12898254394531,56.68166732788086,21.239999771118164,116.2994384765625,76.59463500976562,54.208045959472656,49.180992126464844,143.60693359375,320.8942565917969,33.310001373291016,323.2062072753906,248.29751586914062,30.663501739501953
2021-05-19,121.76762390136719,144.82156372070312,571.489990234375,64.61000061035156,138.8780059814453,76.02760314941406,54.811092376708984,75.37659454345703,30.500905990600586,83.14569854736328,86.96192932128906,176.82484436035156,21.814800262451172,104.8154067993164,85.658203125,32.156314849853516,26.212553024291992,408.1544189453125,122.22000122070312,66.55390930175781,278.2651062011719,23.2772159576416,35.18344497680664,,319.49151611328125,119.07707214355469,62.709999084472656,190.00759887695312,22.042333602905273,53.3453254699707,52.804656982421875,351.7641296386719,142.0537567138672,258.5,30.169612884521484,94.7291030883789,179.9830780029297,72.07764434814453,55.93000030517578,20.670000076293945,117.87823486328125,76.442138671875,54.055965423583984,48.52995681762695,143.34219360351562,311.2188415527344,33.11000061035156,322.2174377441406,246.59303283691406,30.630634307861328
2021-05-20,124.32621765136719,144.7017059326172,587.9000244140625,67.9000015258789,141.0241241455078,75.60310363769531,56.02354049682617,76.74535369873047,30.82512092590332,82.84230041503906,86.18502807617188,180.28857421875,22.010845184326172,105.92570495605469,85.95698547363281,32.09523010253906,26.157371520996094,405.31024169921875,123.05999755859375,66.92942810058594,277.8363342285156,23.460996627807617,35.04841232299805,,320.7395935058594,119.08695983886719,63.0,190.70301818847656,21.91073989868164,53.43395233154297,53.028533935546875,358.3124694824219,142.4280548095703,256.239990234375,29.906047821044922,94.35588836669922,184.3501434326172,72.198974609375,57.098331451416016,20.610000610351562,119.66455841064453,76.92045593261719,54.12355041503906,48.43351364135742,144.9947052001953,309.25274658203125,31.850000381469727,329.0598449707031,248.85308837890625,30.499174118041992
